,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
64,57.0,Lithuania,1397806,,9897.0,,1387478.0,,431.0,,525154.0,3718.0,10540357.0,3959997.0,2661708.0,Europe,2.0,269.0,0.0,,,162
65,58.0,Slovenia,1356546,,7100.0,,1349424.0,,22.0,,652803.0,3417.0,2847701.0,1370382.0,2078034.0,Europe,2.0,293.0,1.0,,,11
66,59.0,Bulgaria,1339851,,38748.0,,1292944.0,,8159.0,22.0,195753.0,5661.0,11671043.0,1705147.0,6844597.0,Europe,5.0,177.0,1.0,,,1192
67,60.0,Croatia,1309728,,18687.0,,1258432.0,,32609.0,,322650.0,4604.0,5660084.0,1394355.0,4059286.0,Europe,3.0,217.0,1.0,,,8033
68,61.0,Guatemala,1291293,,20289.0,,1269891.0,,1113.0,5.0,69484.0,1092.0,7593848.0,408622.0,18584039.0,North America,14.0,916.0,2.0,,,60
69,62.0,Morocco,1278992,,16303.0,,,,,,33860.0,432.0,13001033.0,344191.0,37772756.0,Africa,30.0,2317.0,3.0,,,173
70,63.0,Lebanon,1243838,,10952.0,,1087587.0,,145299.0,74.0,186068.0,1638.0,4795578.0,717380.0,6684849.0,Asia,5.0,610.0,1.0,,,21736
71,64.0,Costa Rica,1238883,,9428.0,,,,,,239058.0,1819.0,4659757.0,899158.0,5182354.0,North America,4.0,550.0,1.0,,,71154
72,65.0,Bolivia,1212131,,22407.0,,1177145.0,,12579.0,220.0,101073.0,1868.0,2710261.0,225993.0,11992656.0,South America,10.0,535.0,4.0,,,1049
73,66.0,Tunisia,1153361,,29423.0,,,,,,95741.0,2442.0,5013383.0,416164.0,12046656.0,Africa,10.0,409.0,2.0,,,1157
74,67.0,Cuba,1115251,,8530.0,,1106660.0,,61.0,,98645.0,754.0,14402674.0,1273936.0,11305652.0,North America,10.0,1325.0,1.0,,,5
75,68.0,Ecuador,1070188,,36043.0,,1034145.0,,0.0,,59083.0,1990.0,3082403.0,170173.0,18113361.0,South America,17.0,503.0,6.0,,,
76,69.0,UAE,1067030,,2349.0,,,,,,105837.0,233.0,200732262.0,19910389.0,10081785.0,Asia,9.0,4292.0,0.0,,,1007
77,70.0,Panama,1059893,,8727.0,,1051102.0,,64.0,16.0,238341.0,1962.0,7882622.0,1772585.0,4446964.0,North America,4.0,510.0,1.0,,,14
78,71.0,Uruguay,1041111,,7664.0,,1030944.0,,2503.0,18.0,297799.0,2192.0,6114822.0,1749083.0,3496016.0,South America,3.0,456.0,1.0,,,716
79,72.0,Mongolia,1011496,,2284.0,,1009212.0,,0.0,,299429.0,676.0,4030048.0,1193000.0,3378078.0,Asia,3.0,1479.0,1.0,,,
80,73.0,Nepal,1003450,,12031.0,,991322.0,,97.0,,33199.0,398.0,6047766.0,200088.0,30225582.0,Asia,30.0,2512.0,5.0,,,3
81,74.0,Belarus,994037,,7118.0,,985592.0,,1327.0,,105381.0,755.0,13646641.0,1446722.0,9432800.0,Europe,9.0,1325.0,1.0,,,141
82,75.0,Latvia,982505,,6715.0,,971406.0,,4384.0,,531418.0,3632.0,7885792.0,4265272.0,1848837.0,Europe,2.0,275.0,0.0,,,2371
83,76.0,Saudi Arabia,841469,,9646.0,,,,,,23475.0,269.0,45481735.0,1268848.0,35844909.0,Asia,43.0,3716.0,1.0,,,109
84,77.0,Paraguay,837602,,20155.0,,,,,,114648.0,2759.0,2657506.0,363751.0,7305843.0,South America,9.0,362.0,3.0,,,16306
85,78.0,Azerbaijan,835234,,10400.0,,824089.0,,745.0,,81089.0,1010.0,7748050.0,752223.0,10300205.0,Asia,12.0,990.0,1.0,,,72
86,79.0,Bahrain,729549,,1574.0,,727915.0,,60.0,,408944.0,882.0,10948549.0,6137138.0,1783983.0,Asia,2.0,1133.0,0.0,,,34
87,80.0,Cyprus,681110,,1365.0,,679745.0,,0.0,,556741.0,1116.0,9640118.0,7879860.0,1223387.0,Asia,2.0,896.0,0.0,,,
88,81.0,Dominican Republic,675890,,4384.0,,671316.0,,190.0,4.0,61131.0,397.0,3740928.0,338350.0,11056370.0,North America,16.0,2522.0,3.0,,,17
89,82.0,Sri Lanka,672754,,16897.0,,655852.0,,5.0,,31181.0,783.0,6486117.0,300619.0,21575842.0,Asia,32.0,1277.0,3.0,,,0.2
90,83.0,Kuwait,667158,,2570.0,,,,,,152308.0,587.0,8455743.0,1930391.0,4380326.0,Asia,7.0,1704.0,1.0,,,993
91,84.0,Myanmar,641873,,19495.0,,620159.0,,2219.0,,11622.0,353.0,11711514.0,212061.0,55227143.0,Asia,86.0,2833.0,5.0,,,40
92,85.0,Moldova,635145,,12218.0,,,,,,158265.0,3044.0,3216305.0,801437.0,4013171.0,Europe,6.0,328.0,1.0,,,29599
93,86.0,Estonia,628070,,3001.0,,,,,,475123.0,2270.0,6968103.0,5271239.0,1321910.0,Europe,2.0,440.0,0.0,,,75708
94,87.0,Palestine,621008,,5404.0,,615445.0,,159.0,,116173.0,1011.0,3078533.0,575907.0,5345541.0,Asia,9.0,989.0,2.0,,,30
95,88.0,Venezuela,552695,,5856.0,,546537.0,,302.0,31.0,18885.0,200.0,3359014.0,114771.0,29266991.0,South America,53.0,4998.0,9.0,,,10
96,89.0,Egypt,516023,,24613.0,,442182.0,,49228.0,122.0,4861.0,232.0,3693367.0,34792.0,106156692.0,Africa,206.0,4313.0,29.0,,,464
97,90.0,Qatar,514524,,690.0,,513687.0,,147.0,16.0,172664.0,232.0,4065369.0,1364257.0,2979915.0,Asia,6.0,4319.0,1.0,,,49
98,91.0,Libya,507274,,6437.0,,500835.0,,2.0,,72048.0,914.0,2483848.0,352782.0,7040745.0,Africa,14.0,1094.0,3.0,,,0.3
99,92.0,Ethiopia,501157,,7574.0,,488171.0,,5412.0,,4148.0,63.0,5565340.0,46066.0,120812698.0,Africa,241.0,15951.0,22.0,,,45
100,93.0,Réunion,494595,,921.0,,,,,,544672.0,1014.0,1603660.0,1766027.0,908061.0,Africa,2.0,986.0,1.0,,,82706
101,94.0,Honduras,474590,,11165.0,,,,,,46432.0,1092.0,1660662.0,162472.0,10221247.0,North America,22.0,915.0,6.0,,,32372
102,95.0,Armenia,451831,,8777.0,,435162.0,,7892.0,,152031.0,2953.0,3242901.0,1091164.0,2971966.0,Asia,7.0,339.0,1.0,,,2655
103,96.0,Bosnia and Herzegovina,403615,,16388.0,,379084.0,,8143.0,,124215.0,5044.0,1884721.0,580036.0,3249317.0,Europe,8.0,198.0,2.0,,,2506
104,97.0,Oman,399449,,4628.0,,,,,,75028.0,869.0,25000000.0,4695724.0,5323993.0,Asia,13.0,1150.0,0.0,,,1907
105,98.0,Luxembourg,391232,,1232.0,,,,,,609044.0,1918.0,4587145.0,7140959.0,642371.0,Europe,2.0,521.0,0.0,,,114124
106,99.0,North Macedonia,350567,,9976.0,,337068.0,,3523.0,,168436.0,4793.0,2226216.0,1069626.0,2081304.0,Europe,6.0,209.0,1.0,,,1693
107,100.0,Zambia,349304,,4069.0,,341316.0,,3919.0,,17940.0,209.0,4112961.0,211244.0,19470234.0,Africa,56.0,4785.0,5.0,,,201
108,101.0,Kenya,344130,,5689.0,,337309.0,,1132.0,,6122.0,101.0,3967062.0,70569.0,56215221.0,Africa,163.0,9881.0,14.0,,,20
109,102.0,Brunei,343719,,225.0,,243601.0,,99893.0,3.0,771655.0,505.0,717784.0,1611437.0,445431.0,Asia,1.0,1980.0,1.0,,,224261
110,103.0,Albania,334863,,3605.0,,330233.0,,1025.0,,116825.0,1258.0,1941032.0,677173.0,2866374.0,Europe,9.0,795.0,1.0,,,358
111,104.0,Botswana,330638,,2801.0,,327049.0,,788.0,1.0,135443.0,1147.0,2026898.0,830300.0,2441162.0,Africa,7.0,872.0,1.0,,,323
112,105.0,Montenegro,296542,,2846.0,,291794.0,,1902.0,,472238.0,4532.0,2769281.0,4410034.0,627950.0,Europe,2.0,221.0,0.0,,,3029
113,106.0,Algeria,272010,,6881.0,,183061.0,,82068.0,,5998.0,152.0,230960.0,5093.0,45350148.0,Africa,167.0,6591.0,196.0,,,1810
114,107.0,Nigeria,267188,,3155.0,,259953.0,,4080.0,11.0,1233.0,15.0,5708974.0,26339.0,216746934.0,Africa,811.0,68700.0,38.0,,,19
115,108.0,Zimbabwe,266359,,5740.0,,258888.0,,1731.0,12.0,17373.0,374.0,2525756.0,164744.0,15331428.0,Africa,58.0,2671.0,6.0,,,113
116,109.0,Uzbekistan,253662,,1637.0,,241486.0,,10539.0,23.0,7378.0,48.0,1377915.0,40077.0,34382084.0,Asia,136.0,21003.0,25.0,,,307
117,110.0,Afghanistan,234174,,7996.0,,211080.0,,15098.0,,5746.0,196.0,1390730.0,34125.0,40754388.0,Asia,174.0,5097.0,29.0,,,370
118,111.0,Mozambique,233731,,2250.0,,228805.0,,2676.0,11.0,7064.0,68.0,1371127.0,41437.0,33089461.0,Africa,142.0,14706.0,24.0,,,81
119,112.0,Martinique,230354,,1102.0,,,,,,615777.0,2946.0,828928.0,2215870.0,374087.0,North America,2.0,339.0,0.0,,,612553
120,113.0,Laos,218970,,758.0,,,,,,29270.0,101.0,1233207.0,164845.0,7481023.0,Asia,34.0,9869.0,6.0,,,28145
121,114.0,Iceland,209906,,229.0,,,,,,607731.0,663.0,1996384.0,5780036.0,345393.0,Europe,2.0,1508.0,0.0,,,387941
122,115.0,Kyrgyzstan,206897,,2991.0,,196406.0,,7500.0,131.0,30750.0,445.0,1907195.0,283460.0,6728271.0,Asia,33.0,2250.0,4.0,,,1115
123,116.0,Guadeloupe,203235,,1021.0,,,,,,508349.0,2554.0,938039.0,2346306.0,399794.0,North America,2.0,392.0,0.0,,,500168
124,117.0,El Salvador,201855,,4230.0,,179410.0,,18215.0,,30816.0,646.0,2610114.0,398467.0,6550389.0,North America,32.0,1549.0,3.0,,,2781
125,118.0,Trinidad and Tobago,191496,,4390.0,,187078.0,,28.0,,136143.0,3121.0,913289.0,649295.0,1406585.0,North America,7.0,320.0,2.0,,,20
126,119.0,Maldives,186694,,316.0,,163687.0,,22691.0,25.0,345100.0,584.0,2213831.0,4092223.0,540985.0,Asia,3.0,1712.0,0.0,,,41944
127,120.0,Namibia,172389,,4106.0,,167099.0,,1184.0,,65451.0,1559.0,1062663.0,403460.0,2633874.0,Africa,15.0,641.0,2.0,,,450
128,121.0,Uganda,172149,,3632.0,,100431.0,,68086.0,,3554.0,75.0,3012408.0,62198.0,48432863.0,Africa,281.0,13335.0,16.0,,,1406
129,122.0,Ghana,171889,,1462.0,,170425.0,,2.0,,5306.0,45.0,2541625.0,78456.0,32395450.0,Africa,188.0,22158.0,13.0,,,0.06
130,123.0,Jamaica,156869,,3756.0,,,,,,52551.0,1258.0,1183986.0,396633.0,2985094.0,North America,19.0,795.0,3.0,,,16712
131,124.0,Cambodia,139103,,3056.0,,136044.0,,3.0,,8102.0,178.0,3091420.0,180062.0,17168639.0,Asia,123.0,5618.0,6.0,,,0.2
132,125.0,Rwanda,133518,,1468.0,,132039.0,,11.0,,9817.0,108.0,6021981.0,442778.0,13600464.0,Africa,102.0,9265.0,2.0,,,0.8
133,126.0,Cameroon,125379,,1974.0,,123280.0,,125.0,,4492.0,71.0,1751774.0,62762.0,27911548.0,Africa,223.0,14140.0,16.0,,,4
134,127.0,Malta,121420,,885.0,,120149.0,,386.0,,273448.0,1993.0,2170600.0,4888375.0,444033.0,Europe,4.0,502.0,0.0,,,869
135,128.0,Barbados,110578,,648.0,,108647.0,,1283.0,,383921.0,2250.0,814159.0,2826715.0,288023.0,North America,3.0,444.0,0.0,,,4455
136,129.0,Angola,107327,,1937.0,,103419.0,,1971.0,,3064.0,55.0,1499795.0,42818.0,35027343.0,Africa,326.0,18083.0,23.0,,,56
137,130.0,Channel Islands,101717,,228.0,,101321.0,,168.0,,576421.0,1292.0,1252808.0,7099551.0,176463.0,Europe,2.0,774.0,0.0,,,952
138,131.0,DRC,99338,,1468.0,,84489.0,,13381.0,,1043.0,15.0,846704.0,8890.0,95240792.0,Africa,959.0,64878.0,112.0,,,140
139,132.0,French Guiana,98041,,420.0,,11254.0,,86367.0,6.0,312065.0,1337.0,651257.0,2072951.0,314169.0,South America,3.0,748.0,0.0,,,274906
140,133.0,Malawi,89535,,2686.0,,,,,,4437.0,133.0,624784.0,30959.0,20180839.0,Africa,225.0,7513.0,32.0,,,16
141,134.0,Senegal,89053,,1971.0,,87024.0,,58.0,,5044.0,112.0,1146543.0,64946.0,17653671.0,Africa,198.0,8957.0,15.0,,,3
142,135.0,Ivory Coast,88384,,835.0,,87497.0,,52.0,,3186.0,30.0,1690934.0,60951.0,27742298.0,Africa,314.0,33224.0,16.0,,,2
