,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
182,175.0,Congo,25375,,386.0,,24006.0,,983.0,,4377.0,67.0,347815.0,59991.0,5797805.0,Africa,228.0,15020.0,17.0,,,170
183,176.0,Timor-Leste,23460,,138.0,,23102.0,,220.0,,17131.0,101.0,278529.0,203391.0,1369429.0,Asia,58.0,9923.0,5.0,,,161
184,177.0,Burkina Faso,22114,,400.0,,21596.0,,118.0,,1001.0,18.0,248995.0,11265.0,22102838.0,Africa,999.0,55257.0,89.0,,,5
185,178.0,Liechtenstein,21574,,94.0,,,,,,562013.0,2449.0,112457.0,2929559.0,38387.0,Europe,2.0,408.0,0.0,,,3334
186,179.0,Gibraltar,20550,,113.0,,,,,,609720.0,3353.0,534283.0,15852213.0,33704.0,Europe,2.0,298.0,0.0,,,114467
187,180.0,Grenada,19693,,238.0,,19358.0,,97.0,4.0,173545.0,2097.0,182981.0,1612523.0,113475.0,North America,6.0,477.0,1.0,,,855
188,181.0,Bermuda,18860,,165.0,,18685.0,,10.0,,304493.0,2664.0,1029558.0,16622128.0,61939.0,North America,3.0,375.0,0.0,,,161
189,182.0,South Sudan,18819,,147.0,,18115.0,,557.0,1.0,1620.0,13.0,410280.0,35313.0,11618511.0,Africa,617.0,79037.0,28.0,,,48
190,183.0,Nicaragua,18491,,225.0,,4225.0,,14041.0,,2728.0,33.0,,,6779100.0,North America,367.0,30129.0,,,,2071
191,184.0,Tajikistan,17786,,125.0,,17264.0,,397.0,,1786.0,13.0,,,9957464.0,Asia,560.0,79660.0,,,,40
192,185.0,Equatorial Guinea,17229,,183.0,,16907.0,,139.0,5.0,11512.0,122.0,365697.0,244342.0,1496662.0,Africa,87.0,8178.0,4.0,,,93
193,186.0,Monaco,17181,,67.0,,,,,,431868.0,1684.0,78646.0,1976875.0,39783.0,Europe,2.0,594.0,1.0,,,28203
194,187.0,Samoa,17006,,31.0,,1605.0,,15370.0,,84089.0,153.0,187397.0,926612.0,202239.0,Australia/Oceania,12.0,6524.0,1.0,,,75999
195,188.0,Tonga,16950,,13.0,,15638.0,,1299.0,,157310.0,121.0,535009.0,4965327.0,107749.0,Australia/Oceania,6.0,8288.0,0.0,,,12056
196,189.0,Marshall Islands,16138,,17.0,,16121.0,,0.0,,268711.0,283.0,,,60057.0,Australia/Oceania,4.0,3533.0,,,,
197,190.0,Dominica,16038,,74.0,,15964.0,,0.0,,221691.0,1023.0,229344.0,3170187.0,72344.0,North America,5.0,978.0,0.0,,,
198,191.0,Djibouti,15690,,189.0,,15427.0,,74.0,,15441.0,186.0,305941.0,301094.0,1016097.0,Africa,65.0,5376.0,3.0,,,73
199,192.0,CAR,15440,,113.0,,15200.0,,127.0,2.0,3078.0,23.0,81294.0,16205.0,5016678.0,Africa,325.0,44395.0,62.0,,,25
200,193.0,Gambia,12626,,372.0,,12189.0,,65.0,,4935.0,145.0,155686.0,60851.0,2558482.0,Africa,203.0,6878.0,16.0,,,25
201,194.0,Saint Martin,12324,,63.0,,,,,,310194.0,1586.0,112382.0,2828643.0,39730.0,North America,3.0,631.0,0.0,,,273395
